realtime_start,realtime_end,date,value,year_ago_value,yoy_growth
2025-04-22,2025-04-22,2021-05-09,129.69,67.27,92.79024825330757
2025-04-22,2025-04-22,2021-05-10,130.01,67.19,93.49605596070843
2025-04-22,2025-04-22,2021-05-11,130.34,67.02,94.47925992241125
2025-04-22,2025-04-22,2021-05-12,130.84,66.75,96.01498127340824
2025-04-22,2025-04-22,2021-05-13,131.29,66.15,98.47316704459558
2025-04-22,2025-04-22,2021-05-14,131.72,65.75,100.33460076045628
2025-04-22,2025-04-22,2021-05-15,132.04,65.53,101.49549824507858
2025-04-22,2025-04-22,2021-05-16,132.46,65.07,103.56539111725837
2025-04-22,2025-04-22,2021-05-17,132.9,64.62,105.66388115134633
2025-04-22,2025-04-22,2021-05-18,133.25,64.31,107.19950241020058
2025-04-22,2025-04-22,2021-05-19,133.4,64.08,108.17727840199751
2025-04-22,2025-04-22,2021-05-20,133.62,64.22,108.06602304578014
2025-04-22,2025-04-22,2021-05-21,133.79,64.31,108.03918519670346
2025-04-22,2025-04-22,2021-05-22,133.6,64.33,107.67915436032955
2025-04-22,2025-04-22,2021-05-23,133.75,64.46,107.49301892646605
2025-04-22,2025-04-22,2021-05-24,133.72,64.53,107.22144738881141
2025-04-22,2025-04-22,2021-05-25,133.63,64.48,107.24255583126549
2025-04-22,2025-04-22,2021-05-26,133.5,64.45,107.13731574864237
2025-04-22,2025-04-22,2021-05-27,133.4,64.35,107.30380730380733
2025-04-22,2025-04-22,2021-05-28,133.34,64.12,107.95383655645662
2025-04-22,2025-04-22,2021-05-29,133.73,63.96,109.08380237648527
2025-04-22,2025-04-22,2021-05-30,133.77,64.18,108.42941726394515
2025-04-22,2025-04-22,2021-05-31,134.01,64.16,108.86845386533666
2025-04-22,2025-04-22,2021-06-01,134.08,64.09,109.20580433765019
2025-04-22,2025-04-22,2021-06-02,134.45,64.21,109.3910605824638
2025-04-22,2025-04-22,2021-06-03,134.66,64.38,109.16433675054367
2025-04-22,2025-04-22,2021-06-04,135.02,64.47,109.43074298123162
2025-04-22,2025-04-22,2021-06-05,135.28,64.57,109.50905993495435
2025-04-22,2025-04-22,2021-06-06,135.62,64.53,110.16581434991477
2025-04-22,2025-04-22,2021-06-07,135.91,64.65,110.22428460943541
2025-04-22,2025-04-22,2021-06-08,136.28,64.89,110.01695176452458
2025-04-22,2025-04-22,2021-06-09,136.54,64.89,110.41762983510554
2025-04-22,2025-04-22,2021-06-10,136.9,64.92,110.87492298213186
2025-04-22,2025-04-22,2021-06-11,137.17,65.01,110.99830795262264
2025-04-22,2025-04-22,2021-06-12,137.4,65.06,111.18967107285582
2025-04-22,2025-04-22,2021-06-13,137.68,64.91,112.10907410260363
2025-04-22,2025-04-22,2021-06-14,138.04,64.88,112.76202219482121
2025-04-22,2025-04-22,2021-06-15,138.62,64.92,113.52433764633396
2025-04-22,2025-04-22,2021-06-16,138.91,64.98,113.77346875961834
2025-04-22,2025-04-22,2021-06-17,139.19,64.96,114.27032019704436
2025-04-22,2025-04-22,2021-06-18,139.18,65.06,113.92560713187827
2025-04-22,2025-04-22,2021-06-19,139.4,65.08,114.19791026429012
2025-04-22,2025-04-22,2021-06-20,139.38,65.33,113.34761977651921
2025-04-22,2025-04-22,2021-06-21,139.43,65.54,112.74031126029904
2025-04-22,2025-04-22,2021-06-22,139.3,65.57,112.44471557114537
2025-04-22,2025-04-22,2021-06-23,139.41,65.61,112.48285322359396
2025-04-22,2025-04-22,2021-06-24,139.52,65.63,112.5857077555996
2025-04-22,2025-04-22,2021-06-25,139.9,65.66,113.06731647883035
2025-04-22,2025-04-22,2021-06-26,140.17,65.68,113.4135200974421
2025-04-22,2025-04-22,2021-06-27,140.56,65.61,114.2356348117665
2025-04-22,2025-04-22,2021-06-28,140.82,65.52,114.92673992673994
2025-04-22,2025-04-22,2021-06-29,141.22,65.52,115.53724053724055
2025-04-22,2025-04-22,2021-06-30,141.55,65.5,116.10687022900765
2025-04-22,2025-04-22,2021-07-01,141.88,65.51,116.57762173713935
2025-04-22,2025-04-22,2021-07-02,142.15,65.54,116.89044858101923
2025-04-22,2025-04-22,2021-07-03,142.44,65.56,117.26662599145818
2025-04-22,2025-04-22,2021-07-04,142.72,65.57,117.6605154796401
2025-04-22,2025-04-22,2021-07-05,143.03,65.58,118.10003049710278
2025-04-22,2025-04-22,2021-07-06,143.38,65.57,118.66707335671802
2025-04-22,2025-04-22,2021-07-07,143.68,65.65,118.85757806549886
2025-04-22,2025-04-22,2021-07-08,143.93,65.89,118.43982394900591
2025-04-22,2025-04-22,2021-07-09,144.25,66.01,118.52749583396454
2025-04-22,2025-04-22,2021-07-10,144.43,66.24,118.0404589371981
2025-04-22,2025-04-22,2021-07-11,144.6,66.48,117.5090252707581
2025-04-22,2025-04-22,2021-07-12,144.61,66.71,116.77409683705595
2025-04-22,2025-04-22,2021-07-13,144.82,67.05,115.98806860551827
2025-04-22,2025-04-22,2021-07-14,145.03,67.34,115.36976536976536
2025-04-22,2025-04-22,2021-07-15,145.31,67.51,115.24218634276401
2025-04-22,2025-04-22,2021-07-16,145.47,67.68,114.93794326241134
2025-04-22,2025-04-22,2021-07-17,145.68,67.82,114.80389265703334
2025-04-22,2025-04-22,2021-07-18,146.13,67.7,115.84933530280648
2025-04-22,2025-04-22,2021-07-19,146.71,67.83,116.29072681704262
2025-04-22,2025-04-22,2021-07-20,147.11,67.97,116.43372075915848
2025-04-22,2025-04-22,2021-07-21,147.47,68.1,116.54919236417037
2025-04-22,2025-04-22,2021-07-22,147.77,68.25,116.51282051282053
2025-04-22,2025-04-22,2021-07-23,148.27,68.39,116.80070185699665
2025-04-22,2025-04-22,2021-07-24,148.8,68.54,117.0995039393055
2025-04-22,2025-04-22,2021-07-25,149.22,68.9,116.57474600870825
2025-04-22,2025-04-22,2021-07-26,149.54,69.01,116.69323286480218
2025-04-22,2025-04-22,2021-07-27,149.8,68.97,117.19588226765264
2025-04-22,2025-04-22,2021-07-28,150.13,68.99,117.61124800695755
2025-04-22,2025-04-22,2021-07-29,150.5,69.01,118.0843356035357
2025-04-22,2025-04-22,2021-07-30,150.74,69.04,118.33719582850522
2025-04-22,2025-04-22,2021-07-31,151.1,69.06,118.79525050680566
2025-04-22,2025-04-22,2021-08-01,151.31,69.3,118.34054834054835
2025-04-22,2025-04-22,2021-08-02,151.52,69.44,118.20276497695855
2025-04-22,2025-04-22,2021-08-03,151.75,69.64,117.90637564618036
2025-04-22,2025-04-22,2021-08-04,151.98,69.74,117.92371666188701
2025-04-22,2025-04-22,2021-08-05,152.23,69.78,118.15706506162222
2025-04-22,2025-04-22,2021-08-06,152.53,69.84,118.3991981672394
2025-04-22,2025-04-22,2021-08-07,152.08,69.7,118.19225251076043
