realtime_start,realtime_end,date,value,pct_change
2025-05-12,2025-05-12,2020-12-16,12658.19,0.5012282593334305
2025-05-12,2025-05-12,2020-12-17,12764.75,0.8418265170612838
2025-05-12,2025-05-12,2020-12-18,12755.64,-0.0713684169294404
2025-05-12,2025-05-12,2020-12-21,12742.52,-0.10285646192584874
2025-05-12,2025-05-12,2020-12-22,12807.92,0.513242278607362
2025-05-12,2025-05-12,2020-12-23,12771.11,-0.2874002960668087
2025-05-12,2025-05-12,2020-12-24,12804.73,0.26325041441188635
2025-05-12,2025-05-12,2020-12-28,12899.42,0.7394923594640446
2025-05-12,2025-05-12,2020-12-29,12850.22,-0.3814124976161737
2025-05-12,2025-05-12,2020-12-30,12870.0,0.15392732575785217
2025-05-12,2025-05-12,2020-12-31,12888.28,0.14203574203575098
2025-05-12,2025-05-12,2021-01-04,12698.45,-1.4728885468037634
2025-05-12,2025-05-12,2021-01-05,12818.96,0.9490134622729407
2025-05-12,2025-05-12,2021-01-06,12740.79,-0.6097998589589038
2025-05-12,2025-05-12,2021-01-07,13067.48,2.564126714277526
2025-05-12,2025-05-12,2021-01-08,13201.98,1.0292726677217034
2025-05-12,2025-05-12,2021-01-11,13036.43,-1.2539785698811756
2025-05-12,2025-05-12,2021-01-12,13072.43,0.2761492218344985
2025-05-12,2025-05-12,2021-01-13,13128.95,0.4323603186247693
2025-05-12,2025-05-12,2021-01-14,13112.64,-0.12422927956921015
2025-05-12,2025-05-12,2021-01-15,12998.5,-0.8704578178002298
2025-05-12,2025-05-12,2021-01-19,13197.18,1.528484055852597
2025-05-12,2025-05-12,2021-01-20,13457.25,1.9706482748587106
2025-05-12,2025-05-12,2021-01-21,13530.91,0.5473629456240969
2025-05-12,2025-05-12,2021-01-22,13543.06,0.08979440407186345
2025-05-12,2025-05-12,2021-01-25,13635.99,0.6861817048732011
2025-05-12,2025-05-12,2021-01-26,13626.06,-0.07282199532266942
2025-05-12,2025-05-12,2021-01-27,13270.6,-2.608677783599944
2025-05-12,2025-05-12,2021-01-28,13337.16,0.5015598390426979
2025-05-12,2025-05-12,2021-01-29,13070.69,-1.9979515878942644
2025-05-12,2025-05-12,2021-02-01,13403.39,2.5453897231133116
2025-05-12,2025-05-12,2021-02-02,13612.78,1.5622167227843153
2025-05-12,2025-05-12,2021-02-03,13610.54,-0.01645512525729753
2025-05-12,2025-05-12,2021-02-04,13777.74,1.2284597084318394
2025-05-12,2025-05-12,2021-02-05,13856.3,0.5701951118253001
2025-05-12,2025-05-12,2021-02-08,13987.64,0.9478720870650825
2025-05-12,2025-05-12,2021-02-09,14007.7,0.14341232688288574
2025-05-12,2025-05-12,2021-02-10,13972.53,-0.25107619380768664
2025-05-12,2025-05-12,2021-02-11,14025.77,0.38103335616384015
2025-05-12,2025-05-12,2021-02-12,14095.47,0.4969424138567824
2025-05-12,2025-05-12,2021-02-16,14047.5,-0.3403221034843029
2025-05-12,2025-05-12,2021-02-17,13965.49,-0.5838049474995555
2025-05-12,2025-05-12,2021-02-18,13865.36,-0.7169816454703604
2025-05-12,2025-05-12,2021-02-19,13874.46,0.06563118447697747
2025-05-12,2025-05-12,2021-02-22,13533.05,-2.460708380722565
2025-05-12,2025-05-12,2021-02-23,13465.2,-0.501365176364521
2025-05-12,2025-05-12,2021-02-24,13597.97,0.986023230252786
2025-05-12,2025-05-12,2021-02-25,13119.43,-3.5192017632043493
2025-05-12,2025-05-12,2021-02-26,13192.35,0.5558168304568012
2025-05-12,2025-05-12,2021-03-01,13588.83,3.005378116863189
2025-05-12,2025-05-12,2021-03-02,13358.79,-1.6928609747859036
2025-05-12,2025-05-12,2021-03-03,12997.75,-2.7026399846093896
2025-05-12,2025-05-12,2021-03-04,12723.47,-2.1102113827393243
2025-05-12,2025-05-12,2021-03-05,12920.15,1.545804721510713
2025-05-12,2025-05-12,2021-03-08,12609.16,-2.4070153984280362
2025-05-12,2025-05-12,2021-03-09,13073.82,3.685098769466011
2025-05-12,2025-05-12,2021-03-10,13068.83,-0.03816788054294973
2025-05-12,2025-05-12,2021-03-11,13398.67,2.5238678596324338
2025-05-12,2025-05-12,2021-03-12,13319.86,-0.5881927086792915
2025-05-12,2025-05-12,2021-03-15,13459.71,1.0499359602878622
2025-05-12,2025-05-12,2021-03-16,13471.57,0.08811482565376227
2025-05-12,2025-05-12,2021-03-17,13525.2,0.3980976233653566
2025-05-12,2025-05-12,2021-03-18,13116.17,-3.02420666607518
2025-05-12,2025-05-12,2021-03-19,13215.24,0.7553272029868552
2025-05-12,2025-05-12,2021-03-22,13377.54,1.2281275254933055
2025-05-12,2025-05-12,2021-03-23,13227.7,-1.1200863536943273
2025-05-12,2025-05-12,2021-03-24,12961.89,-2.0094952259274157
2025-05-12,2025-05-12,2021-03-25,12977.68,0.12181865453264606
2025-05-12,2025-05-12,2021-03-26,13138.72,1.240899760203673
2025-05-12,2025-05-12,2021-03-29,13059.65,-0.601809004225673
2025-05-12,2025-05-12,2021-03-30,13045.39,-0.10919128766850861
2025-05-12,2025-05-12,2021-03-31,13246.87,1.5444536345789794
2025-05-12,2025-05-12,2021-04-01,13480.11,1.7607178148498548
2025-05-12,2025-05-12,2021-04-05,13705.59,1.672686647215782
2025-05-12,2025-05-12,2021-04-06,13698.38,-0.052606272331223725
2025-05-12,2025-05-12,2021-04-07,13688.84,-0.06964327168613726
2025-05-12,2025-05-12,2021-04-08,13829.31,1.0261643791585007
2025-05-12,2025-05-12,2021-04-09,13900.19,0.5125346094635219
2025-05-12,2025-05-12,2021-04-12,13850.0,-0.3610742011440182
2025-05-12,2025-05-12,2021-04-13,13996.1,1.0548736462093977
2025-05-12,2025-05-12,2021-04-14,13857.84,-0.9878466144140119
2025-05-12,2025-05-12,2021-04-15,14038.76,1.305542566518314
2025-05-12,2025-05-12,2021-04-16,14052.34,0.09673219002248601
2025-05-12,2025-05-12,2021-04-19,13914.77,-0.9789828597941641
2025-05-12,2025-05-12,2021-04-20,13786.27,-0.9234791520089769
2025-05-12,2025-05-12,2021-04-21,13950.22,1.1892266726242662
2025-05-12,2025-05-12,2021-04-22,13818.41,-0.9448596509589069
2025-05-12,2025-05-12,2021-04-23,14016.81,1.4357657646574262
2025-05-12,2025-05-12,2021-04-26,14138.78,0.8701694608117094
2025-05-12,2025-05-12,2021-04-27,14090.22,-0.34345254682512927
2025-05-12,2025-05-12,2021-04-28,14051.03,-0.27813618240168925
2025-05-12,2025-05-12,2021-04-29,14082.55,0.22432519181867505
2025-05-12,2025-05-12,2021-04-30,13962.68,-0.8511952735832606
2025-05-12,2025-05-12,2021-05-03,13895.12,-0.48386126445638666
2025-05-12,2025-05-12,2021-05-04,13633.5,-1.8828192919528641
2025-05-12,2025-05-12,2021-05-05,13582.42,-0.3746653463894134
2025-05-12,2025-05-12,2021-05-06,13632.84,0.3712151442820888
2025-05-12,2025-05-12,2021-05-07,13752.24,0.8758263135194122
2025-05-12,2025-05-12,2021-05-10,13401.86,-2.5478031215278363
2025-05-12,2025-05-12,2021-05-11,13389.43,-0.0927483200093171
2025-05-12,2025-05-12,2021-05-12,13031.68,-2.671883717230683
2025-05-12,2025-05-12,2021-05-13,13124.99,0.7160243345447403
2025-05-12,2025-05-12,2021-05-14,13379.05,1.935696712911783
2025-05-12,2025-05-12,2021-05-17,13379.05,0.0
2025-05-12,2025-05-12,2021-05-18,13303.64,-0.5636424110829985
2025-05-12,2025-05-12,2021-05-19,13299.74,-0.02931528514000803
2025-05-12,2025-05-12,2021-05-20,13535.74,1.7744707791280234
2025-05-12,2025-05-12,2021-05-21,13470.99,-0.4783632073311117
2025-05-12,2025-05-12,2021-05-24,13661.17,1.411774487250006
2025-05-12,2025-05-12,2021-05-25,13657.17,-0.029280068983839058
2025-05-12,2025-05-12,2021-05-26,13738.0,0.5918502881636423
2025-05-12,2025-05-12,2021-05-27,13736.28,-0.012520017469785927
2025-05-12,2025-05-12,2021-05-28,13748.74,0.09070869260090486
2025-05-12,2025-05-12,2021-06-01,13736.48,-0.08917180774383748
2025-05-12,2025-05-12,2021-06-02,13756.33,0.14450572490187774
2025-05-12,2025-05-12,2021-06-03,13614.51,-1.0309435728860783
2025-05-12,2025-05-12,2021-06-04,13814.49,1.4688740175004433
2025-05-12,2025-05-12,2021-06-07,13881.72,0.48666291698065134
2025-05-12,2025-05-12,2021-06-08,13924.91,0.31112859213411337
2025-05-12,2025-05-12,2021-06-09,13911.75,-0.09450689447902949
2025-05-12,2025-05-12,2021-06-10,14020.33,0.780491311301601
2025-05-12,2025-05-12,2021-06-11,14069.42,0.3501344119575034
2025-05-12,2025-05-12,2021-06-14,14174.14,0.7443092892244207
2025-05-12,2025-05-12,2021-06-15,14072.86,-0.7145407058205877
2025-05-12,2025-05-12,2021-06-16,14039.68,-0.23577297009990117
2025-05-12,2025-05-12,2021-06-17,14161.35,0.8666151935086797
2025-05-12,2025-05-12,2021-06-18,14030.38,-0.9248412051111043
2025-05-12,2025-05-12,2021-06-21,14141.48,0.7918531073285218
2025-05-12,2025-05-12,2021-06-22,14253.27,0.7905113184758727
2025-05-12,2025-05-12,2021-06-23,14271.73,0.1295141395623478
2025-05-12,2025-05-12,2021-06-24,14369.71,0.6865320462200453
2025-05-12,2025-05-12,2021-06-25,14360.39,-0.06485865059211449
2025-05-12,2025-05-12,2021-06-28,14500.51,0.9757395168237037
2025-05-12,2025-05-12,2021-06-29,14528.33,0.1918553209507845
2025-05-12,2025-05-12,2021-06-30,14503.95,-0.16781006488700845
2025-05-12,2025-05-12,2021-07-01,14522.38,0.12706883297306515
2025-05-12,2025-05-12,2021-07-02,14639.33,0.8053087717027063
2025-05-12,2025-05-12,2021-07-06,14663.64,0.16605951228640947
2025-05-12,2025-05-12,2021-07-07,14665.06,0.009683816569427961
2025-05-12,2025-05-12,2021-07-08,14559.78,-0.7178968241520978
2025-05-12,2025-05-12,2021-07-09,14701.92,0.9762510147818038
2025-05-12,2025-05-12,2021-07-12,14733.24,0.2130333997192091
2025-05-12,2025-05-12,2021-07-13,14677.65,-0.37731008250730946
2025-05-12,2025-05-12,2021-07-14,14644.95,-0.2227877078415097
2025-05-12,2025-05-12,2021-07-15,14543.13,-0.6952567267215048
2025-05-12,2025-05-12,2021-07-16,14427.24,-0.7968710999626594
2025-05-12,2025-05-12,2021-07-19,14274.98,-1.0553647128626165
2025-05-12,2025-05-12,2021-07-20,14498.88,1.568478554786057
2025-05-12,2025-05-12,2021-07-21,14631.95,0.9177950296850534
2025-05-12,2025-05-12,2021-07-22,14684.6,0.3598290043363983
2025-05-12,2025-05-12,2021-07-23,14836.99,1.0377538373534057
2025-05-12,2025-05-12,2021-07-26,14840.71,0.025072470898734878
2025-05-12,2025-05-12,2021-07-27,14660.58,-1.213755945638717
2025-05-12,2025-05-12,2021-07-28,14762.58,0.6957432789153062
2025-05-12,2025-05-12,2021-07-29,14778.26,0.10621449638206215
2025-05-12,2025-05-12,2021-07-30,14672.68,-0.7144278149118999
2025-05-12,2025-05-12,2021-08-02,14681.07,0.05718110120305209
2025-05-12,2025-05-12,2021-08-03,14761.29,0.5464179382020706
2025-05-12,2025-05-12,2021-08-04,14780.53,0.130340911939264
2025-05-12,2025-05-12,2021-08-05,14895.12,0.7752766646392351
2025-05-12,2025-05-12,2021-08-06,14835.76,-0.3985197836606891
2025-05-12,2025-05-12,2021-08-09,14860.18,0.16460228528905052
2025-05-12,2025-05-12,2021-08-10,14788.09,-0.48512198371756243
2025-05-12,2025-05-12,2021-08-11,14765.14,-0.1551924555503792
2025-05-12,2025-05-12,2021-08-12,14816.26,0.34622089597524663
2025-05-12,2025-05-12,2021-08-13,14822.9,0.0448156282354617
2025-05-12,2025-05-12,2021-08-16,14793.76,-0.19658771225603555
2025-05-12,2025-05-12,2021-08-17,14656.18,-0.9299866970939097
2025-05-12,2025-05-12,2021-08-18,14525.91,-0.8888400661018148
2025-05-12,2025-05-12,2021-08-19,14541.79,0.10932189446306584
2025-05-12,2025-05-12,2021-08-20,14714.66,1.1887807484498136
2025-05-12,2025-05-12,2021-08-23,14942.65,1.549407189836538
2025-05-12,2025-05-12,2021-08-24,15019.8,0.5163073484288239
2025-05-12,2025-05-12,2021-08-25,15041.86,0.14687279457783475
2025-05-12,2025-05-12,2021-08-26,14945.81,-0.6385513493676997
2025-05-12,2025-05-12,2021-08-27,15129.5,1.2290401122455163
2025-05-12,2025-05-12,2021-08-30,15265.89,0.9014838560428284
2025-05-12,2025-05-12,2021-08-31,15259.24,-0.04356116806815136
2025-05-12,2025-05-12,2021-09-01,15309.38,0.32858779336322197
2025-05-12,2025-05-12,2021-09-02,15331.18,0.14239636092383545
2025-05-12,2025-05-12,2021-09-03,15363.52,0.21094266716585874
2025-05-12,2025-05-12,2021-09-07,15374.33,0.07036147966090756
2025-05-12,2025-05-12,2021-09-08,15286.64,-0.5703663184021712
2025-05-12,2025-05-12,2021-09-09,15248.25,-0.2511343238278618
2025-05-12,2025-05-12,2021-09-10,15115.49,-0.87065728854131
2025-05-12,2025-05-12,2021-09-13,15105.58,-0.06556188386880324
2025-05-12,2025-05-12,2021-09-14,15037.76,-0.4489731609113923
2025-05-12,2025-05-12,2021-09-15,15161.53,0.8230614134020042
2025-05-12,2025-05-12,2021-09-16,15181.92,0.13448510803328872
2025-05-12,2025-05-12,2021-09-17,15043.97,-0.9086466006934635
2025-05-12,2025-05-12,2021-09-20,14713.9,-2.1940352180973455
2025-05-12,2025-05-12,2021-09-21,14746.4,0.22087957645491318
2025-05-12,2025-05-12,2021-09-22,14896.85,1.0202490099278538
2025-05-12,2025-05-12,2021-09-23,15052.24,1.0431064285402636
2025-05-12,2025-05-12,2021-09-24,15047.7,-0.03016162378489673
2025-05-12,2025-05-12,2021-09-27,14969.97,-0.5165573476345275
2025-05-12,2025-05-12,2021-09-28,14546.68,-2.8275941768754365
2025-05-12,2025-05-12,2021-09-29,14512.44,-0.23538016922074467
2025-05-12,2025-05-12,2021-09-30,14448.58,-0.4400362723291251
2025-05-12,2025-05-12,2021-10-01,14566.7,0.8175197839510817
2025-05-12,2025-05-12,2021-10-04,14255.48,-2.1365168500758647
2025-05-12,2025-05-12,2021-10-05,14433.83,1.2510978234335113
2025-05-12,2025-05-12,2021-10-06,14501.91,0.4716696815744603
2025-05-12,2025-05-12,2021-10-07,14654.02,1.0488963177953892
2025-05-12,2025-05-12,2021-10-08,14579.54,-0.5082564374826792
2025-05-12,2025-05-12,2021-10-11,14486.2,-0.640212242635918
2025-05-12,2025-05-12,2021-10-12,14465.92,-0.13999530587732734
2025-05-12,2025-05-12,2021-10-13,14571.64,0.730821129938497
2025-05-12,2025-05-12,2021-10-14,14823.43,1.7279455160846835
2025-05-12,2025-05-12,2021-10-15,14897.34,0.4986025501520164
2025-05-12,2025-05-12,2021-10-18,15021.81,0.8355182871573108
2025-05-12,2025-05-12,2021-10-19,15129.09,0.7141616090204916
2025-05-12,2025-05-12,2021-10-20,15121.68,-0.04897849110554464
2025-05-12,2025-05-12,2021-10-21,15215.7,0.6217563127906445
2025-05-12,2025-05-12,2021-10-22,15090.2,-0.8248059570049371
2025-05-12,2025-05-12,2021-10-25,15226.71,0.9046268439119265
2025-05-12,2025-05-12,2021-10-26,15235.71,0.05910666191186742
2025-05-12,2025-05-12,2021-10-27,15235.84,0.0008532585616283228
2025-05-12,2025-05-12,2021-10-28,15448.12,1.3932937074687013
2025-05-12,2025-05-12,2021-10-29,15498.39,0.32541176531513116
2025-05-12,2025-05-12,2021-11-01,15595.92,0.629291171534585
2025-05-12,2025-05-12,2021-11-02,15649.6,0.34419258370137484
2025-05-12,2025-05-12,2021-11-03,15811.58,1.035042429199473
2025-05-12,2025-05-12,2021-11-04,15940.31,0.8141501355335645
2025-05-12,2025-05-12,2021-11-05,15971.59,0.19623206825964967
2025-05-12,2025-05-12,2021-11-08,15982.36,0.06743223436114221
2025-05-12,2025-05-12,2021-11-09,15886.54,-0.5995359884272355
2025-05-12,2025-05-12,2021-11-10,15622.71,-1.660714038424993
2025-05-12,2025-05-12,2021-11-11,15704.28,0.5221245225700333
2025-05-12,2025-05-12,2021-11-12,15860.96,0.997689801761048
2025-05-12,2025-05-12,2021-11-15,15853.85,-0.04482704703876461
2025-05-12,2025-05-12,2021-11-16,15973.86,0.7569770118930119
2025-05-12,2025-05-12,2021-11-17,15921.57,-0.32734730365735487
2025-05-12,2025-05-12,2021-11-18,15993.71,0.45309602005330074
2025-05-12,2025-05-12,2021-11-19,16057.44,0.3984691481838887
2025-05-12,2025-05-12,2021-11-22,15854.76,-1.2622186350999876
2025-05-12,2025-05-12,2021-11-23,15775.14,-0.5021835713691081
2025-05-12,2025-05-12,2021-11-24,15845.23,0.44430667493284837
2025-05-12,2025-05-12,2021-11-26,15491.66,-2.2313970829075935
2025-05-12,2025-05-12,2021-11-29,15782.83,1.879527436052686
2025-05-12,2025-05-12,2021-11-30,15537.69,-1.5532068710110924
2025-05-12,2025-05-12,2021-12-01,15254.05,-1.825496582825381
2025-05-12,2025-05-12,2021-12-02,15381.32,0.8343357993450873
2025-05-12,2025-05-12,2021-12-03,15085.47,-1.9234370002054413
